Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Junior Software Engineers’ International Communication and Collaboration Competences,A. Niva; J. Markkula; E. Annanperä,"Empirical Software Engineering in Software, Systems and Services (M3S) Research Unit, University of Oulu, Oulu, Finland; Empirical Software Engineering in Software, Systems and Services (M3S) Research Unit, University of Oulu, Oulu, Finland; Empirical Software Engineering in Software, Systems and Services (M3S) Research Unit, University of Oulu, Oulu, Finland",IEEE Access,15 Dec 2023,2023,11.0,,139039.0,139068.0,"Present-day Software Engineering working environment is highly international. Teams are commonly formed of people from different nationalities and cultural backgrounds. The team’s productivity and efficiency depend significantly on its members’ international communication and collaboration competences. Therefore, understanding the required competences is essential. The software organizations hiring new software engineers need to be able to define and describe the competences, and the junior software engineers applying for their first jobs should know what competences they need to possess and demonstrate. In this study, to increase understanding of necessary communication and collaboration competences in the international Software Engineering working environment, competences were, first, analyzed from the job advertisements applicable to junior software engineers and, second, identified by a literature review. The results were compared to identify what competences junior software engineers should learn and demonstrate, to be competent in the international software engineer job markets. The job advertisement findings show that the international operational environment expects extensive competence in collaboration, high competence in English, and considerable competence in local language and communication. Intercultural competence and other languages are hardly expected. The literature review emphasizes inter-related communication, collaboration, intercultural, and language competences at various levels. Eventually, junior software engineers should demonstrate a tolerant and adaptable attitude, cooperativeness, independence, openness, courage to influence, oral and written social interaction skills, fluent professional English and local language communication skills as well as field-specific and general collaboration methods. The findings benefit juniors and Software Engineering education through which also employers obtain more competent jobseekers.",2169-3536,,10.1109/ACCESS.2023.3340409,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10347185,International competence;job advertisement;junior software engineer;software engineering,Software engineering;Cultural differences;Global communication;Software engineering;Knowledge engineering;Companies;Teamwork;Engineering profession,,5.0,,92.0,CCBYNCND,7 Dec 2023,2023,,IEEE,IEEE Journals
Exploratory Analysis of Software Engineering Skill in Thailand's Software Industry Using NLP Techniques,N. Phakdee; S. Pradubnak; A. Siraphatwongkorn,"Faculty of Informatics, Burapha University, Thailand; Faculty of Science, Chandrakasem Rajabhat University, Bangkok, Thailand; Faculty of Informatics, Burapha University, Thailand","2025 IEEE/ACIS 29th International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)",2025-11-28 00:00:00,2025,,,418.0,423.0,"The COVID-19 pandemic has contributed to digital transformation across industries, with the software sector in Thailand experiencing rapid growth. This research aims to identify the essential technical and soft skills required by the Thai software industry using natural language processing (NLP). The analysis shows that programming languages such as SQL, Java, and Python, as well as development tools such as Docker and Git, are essential for all roles. At the same time, soft skills such as communication, problem-solving, and analytical remain important. The findings highlight a significant skills gap that is depriving university graduates of meaningful career opportunities, emphasizing the need for an overhaul of higher education course content. This study gives empirical evidence to support curriculum redesign and workforce development policies so that future graduates are skillfully suited to Thailand's digital economy and the changing needs of Industry 5.0.",2693-8421,979-8-3315-1258-3,10.1109/SNPD65828.2025.11253042,Burapha University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11253042,software engineering;technical skills;soft skills;natural language processing,Industries;Structured Query Language;Java;Pandemics;Natural language processing;Software;Problem-solving;Fifth Industrial Revolution;Software engineering;Python,,,,20.0,IEEE,2025-11-28 00:00:00,25-27 June 2025,25-27 June 2025,IEEE,IEEE Conferences
Beyond the Job Posting: What Hiring Managers Seek in Entry-Level Software Engineering Candidates,S. B. Loufek; F. Santos; B. Trinkenreich,"Cloud Platform Infrastructure, Hewlett Packard Enterprise, Fort Collins, CO, USA; Computer Science, Colorado State University, Fort Collins, CO, USA; Computer Science, Colorado State University, Fort Collins, CO, USA",2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),2026-01-12 00:00:00,2025,,,1.0,11.0,"Background: With limited job openings and growing selectivity in tech, understanding the skills hiring managers expect from entry-level Software Engineering candidates is essential. While job postings emphasize technical abilities, success often hinges on non-technical skills, as interpersonal and adaptive abilities. Yet, mismatches between candidate profiles and employer expectations lead to inefficient hiring and missed opportunities. Aims: We investigated which skills hiring managers expect from early-career Software Engineering (SE) candidates and how those skills are described in job postings. Method: To achieve this goal, we conducted an exploratory case study in Hewlett Packard Enterprise (HPE), a global technology company. We interviewed 12 managers, collected seven HPE job postings related to entry-level positions in Software Engineering-related roles, and employed mixed methods to analyze the data. Results: Our findings show that hiring managers place strong emphasis on non-technical expectations when evaluating entry-level candidates. They commonly believe that technical competencies can be taught on the job, provided the candidate demonstrates the right nontechnical attributes. The non-technical expectations included adaptability, proactivity, dependability, self-direction, passion, collaboration, communication, problem solving, courage, selfawareness, self-confidence, willingness to learn, and having a process-oriented mindset. Conclusions: To secure their first job, Software Engineering students should invest not only in technical competencies but also in developing non-technical skills. Our findings show that hiring managers prioritize these skills, even though they are often underrepresented in job postings. Making such expectations more visible could help bridge the gap between candidates and employers, leading to more efficient and effective hiring.",,979-8-3315-9147-2,10.1109/ESEM64174.2025.00055,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323277,job;skills;technical;non-technical;job posting,Industries;Navigation;Collaboration;Companies;Fasteners;Software;Software measurement;Problem-solving;Interviews;Software engineering,,,,33.0,IEEE,2026-01-12 00:00:00,2-3 Oct. 2025,2-3 Oct. 2025,IEEE,IEEE Conferences
"Identify the Current Demanded Knowledge, Skills, and Abilities (KSA) in IT through Analysis of Job Advertisements in Sri Lanka: A Framework Using Natural Language Processing Techniques",K. Chamithri; P. P. G. D. Asanka,"Department of Industrial Management, University of Kelaniya, Sri Lanka; Department of Industrial Management, University of Kelaniya, Sri Lanka",2024 4th International Conference on Advanced Research in Computing (ICARC),22 Apr 2024,2024,,,229.0,234.0,"This research aims to develop a Natural Language Processing (NLP) framework to uncover the current demanded Knowledge, Skills, and Abilities (KSAs) in the Sri Lankan Information Technology (IT) sector. In the KSA, this paper focuses on professional qualifications and concepts, technical skills, and soft skills. Understanding the specific Knowledge, Skills, and Abilities demanded by industries is not only relevant to academics but also holds practical significance for job seekers, educational institutions, and employers. By employing Natural Language Processing techniques to analyze job advertisements, this research aims to bridge the skills gap, and support the relevant beneficiaries. The outcomes include the ability to use Generative AI for job advertisement annotation, an NLP framework to analyze job advertisements, identify the main areas in the IT sector according to ESCO (European Skills/Competences, Qualifications, and Occupations) classification-based customization and their specifically demanded KSAs for each domain. Importantly, the results also highlight that Knowledge and Skills vary across different domains, while Abilities remain common with slight changes.",,979-8-3503-8486-4,10.1109/ICARC61713.2024.10499754,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499754,artificial intelligence;generative artificial intelligence;information technology;knowledge-skills-abilities;natural language processing,Industries;Bridges;Generative AI;Annotations;Europe;Natural language processing;Information technology,,3.0,,13.0,IEEE,22 Apr 2024,21-24 Feb. 2024,21-24 Feb. 2024,IEEE,IEEE Conferences
Emerging Trends for Global DevOps: A New Zealand Perspective,W. Hussain; T. Clear; S. MacDonell,"Software Engineering Research Lab (SERL) School of Engineering, Auckland University of Technology (AUT), Auckland, New Zealand; Software Engineering Research Lab (SERL) School of Engineering, Auckland University of Technology (AUT), Auckland, New Zealand; Software Engineering Research Lab (SERL) School of Engineering, Auckland University of Technology (AUT), Auckland, New Zealand",2017 IEEE 12th International Conference on Global Software Engineering (ICGSE),2017-07-17 00:00:00,2017,,,21.0,30.0,"The DevOps phenomenon is gaining popularity through its ability to support continuous value delivery and ready accommodation of change. However, given the relative immaturity and general confusion about DevOps, a common view of expectations from a DevOps role is lacking. Through investigation of online job advertisements, combined with interviews, we identified key Knowledge Areas, Skills and Capabilities for a DevOps role and their relative importance in New Zealand's job market. Our analysis also revealed the global dimensions and the emerging nature of the DevOps role in GSE projects. This research adds a small advanced economy (New Zealand) perspective to the literature on DevOps job advertisements and should be of value to employers, job seekers, researchers as well educators and policy makers.",,978-1-5386-1587-4,10.1109/ICGSE.2017.16,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976683,GSD;GSE;DevOps;Continuous Integration;Continuous Deployment;Education;Empirical;Analysis;Online Job Postings Analysis;Content Analysis;Cloud;AWS,Tools;Software;Organizations;Market research;Interviews;Collaboration;Software engineering,,23.0,,43.0,IEEE,2017-07-17 00:00:00,22-23 May 2017,22-23 May 2017,IEEE,IEEE Conferences
Are Computer Science and Engineering Graduates Ready for the Software Industry? Experiences from an Industrial Student Training Program,E. Tuzun; H. Erdogmus; I. G. Ozbilgin,"Department of Computer Engineering, Havelsan Technology and Academy Directorate, Turkey; Carnegie Mellon University, Electrical and Computer Engineering, USA; Havelsan Technology and Academy Directorate, Turkey",2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),26 Aug 2018,2018,,,68.0,77.0,"It has been 50 years since the term ""software engineering"" was coined in 1968 at a NATO conference. The field should be relatively mature by now, with most established universities covering core software engineering topics in their Computer Science programs and others offering specialized degrees. However, still many practitioners lament a lack of skills in new software engineering hires. With the growing demand for software engineers from the industry, this apparent gap becomes more and more pronounced. One corporate strategy to address this gap is for the industry to develop supplementary training programs before the hiring process, which could also help companies screen viable candidates. In this paper, we report on our experiences and lessons learned in conducting a summer school program aimed at screening new graduates, introducing them to core skills relevant to the organization and industry, and assessing their attitudes toward mastering those skills before the hiring process begins. Our experience suggests that such initiatives can be mutually beneficial for new hires and companies alike. We support this insight with pre- and post-training data collected from the participants during the first edition of the summer school and a follow-up questionnaire conducted after a year with the participants, 50% of whom were hired by the company shortly after the summer school.",,978-1-4503-5660-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445184,software engineering education;software engineering training;software engineering summer school;hiring practices for software professionals,Software engineering;Companies;Software;Industries;Training;Computer science,,1.0,,19.0,,26 Aug 2018,25 May-3 June 2018,25 May-3 June 2018,IEEE,IEEE Conferences
A New Approach Towards Ensuring Gender Inclusive SE Job Advertisements,T. Kanij; J. Grundy; J. McIntosh; A. Sarma; G. Aniruddha,"Faculty of IT, Monash University, Australia; Faculty of IT, Monash University, Australia; Faculty of IT, Monash University, Australia; School of Electrical Engineering and Computer Science, Oregon State University, USA; International Centre for Radio Astronomy Research, Curtin University, Australia",2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),2022-06-20 00:00:00,2022,,,1.0,11.0,"A majority of software engineers are male, perhaps, because of the very way that software engineering (SE) roles are advertised is gender biased. Thus far, only word-based checking tools are available to identify gender biases (e.g., “analyst” is considered a masculine word). However, such word-based analyses end up identifying the skills required for SE job positions as masculine words, and therefore, not sufficient. In this work, we present a more nu-anced mechanism to check for gender bias in SE job advertisements by building on the GenderMag method, which has proven to be successful in gender bias detection in software interfaces. From a survey of 44 software practitioners, we identified 16 factors where male and female participants differ and based on a thematic analysis we derived three SE job applicant persona facets. We verified the facets with a small survey where SE candidates related to the descriptions of those factors. We conducted a pilot study using these facets to evaluate four SE job advertisements and identified gender related biases in two of those. The software engineering (SE) workforce is dominated by male employees. This is potentially because SE job advertisements are gender biased toward men. SE job advertisements are often checked for potential gender bias using word-based bias detection tools. However, these do not take software engineering specific words into consideration. For example the word’ analyst’ is considered male using the word-based tools, and therefore any SE analyst position would be seen (incorrectly) to be biased toward men. As a result, such word-based tools are not good enough to accurately assess for gender bias in SE job ads. We present a more nuanced mechanism to check for gender bias in SE job advertisements by building on the GenderMag method. GenderMag has proven to be successful in gender bias detection in software interfaces. This method identifies five dimensions of problem solving (referred to as facets) on which male and female software users differ. From a survey of software practitioners, we identified factors where male and female SE job applicants differ. We grouped the similar factors together and derived three facets that were important to predict job application behaviour of SE job applicants. We validated these facets with some SE candidates and used them to develop ‘new’ Tim and Abi personas from the facets and evaluated four SE job advertisements. We identified gender related biases in two of these.",,978-1-6654-9594-3,10.1145/3510458.3513016,"NSF(grant numbers:1901031,2008089); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793874,Job advertisement;gender bias;cogitive walkthrough;persona,Buildings;Software;Problem-solving;Software engineering,,7.0,,38.0,,2022-06-20 00:00:00,22-24 May 2022,22-24 May 2022,IEEE,IEEE Conferences
IranITJobs2021: a Dataset for Analyzing Iranian Online IT Job Advertisements Collected Using a New Crowdsourcing-based Dataset Gathering Process,F. Noorbehbahani; N. Akbarpour; M. R. Saeidi,"Faculty of Computer Engineering University of Isfahan, Isfahan, Iran; Faculty of Computer Engineering University of Isfahan, Isfahan, Iran; Faculty of Computer Engineering University of Isfahan, Isfahan, Iran",2022 12th International Conference on Computer and Knowledge Engineering (ICCKE),2022-11-29 00:00:00,2022,,,65.0,72.0,"Gathering and preparing high-quality data is one of the most significant and expensive steps in data analytics. Crowdsourcing is an efficient way to create datasets for machine learning and data science applications. However, it is vital to apply a proper crowdsourcing process for dataset creation to ensure the quality of the collected data. In this paper, a new process to create high-quality datasets based on crowdsourcing is proposed, including the pre-gathering, gathering, and post-gathering phases. Today employers and job seekers benefit from online job postings and social media sites for recruitment more than ever before. Consequently, a huge volume of job posting data is available that enforces the need for data visualization and data analytics for extracting valuable insights to help better decision making. Although there exist several online job advertisement datasets for analyzing job demand and requirements, there is no such dataset about the IT job market in Iran. In this paper, IranITJobs2021, an online IT job posting dataset, is presented, which is produced using the proposed dataset gathering process. IranITJobs2021 includes job advertisements related to information technology from August 2019 to January 2021. The dataset incorporates 1300 instances and 13 features which is publicly available. IranITJobs2021 could be analyzed to find valuable patterns of job requirements and skills in the field of information technology. Furthermore, the proposed dataset gathering process is applicable to create datasets efficiently.",2643-279X,978-1-6654-7613-3,10.1109/ICCKE57176.2022.9960084,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9960084,dataset collection;crowdsourcing;job posting;data analytics,Crowdsourcing;Knowledge engineering;Social networking (online);Decision making;Data visualization;Machine learning;Data science,,1.0,,22.0,IEEE,2022-11-29 00:00:00,17-18 Nov. 2022,17-18 Nov. 2022,IEEE,IEEE Conferences
Pre-Interview Reviewer Using Natural Language Processing for Software Engineers in The IT Industry : Pre-interview reviewer,S. M. A. M; S. M. Samarasinghe; D. Tharinda; G. D. C; A. Gamage,"Faculty of Computing, Sri Lanka Institute of Information Technology, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Sri Lanka; Faculty of Computing, Sri Lanka Institute of Information Technology, Sri Lanka","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",2023-03-28 00:00:00,2022,,,2300.0,2305.0,"The internet use to look for work has increased dramatically in recent years, and the number of job applicants has also increased. Numerous conventional websites promote online job postings using graphical and writeable ways. But the respective websites do not support HR (Human resources) in selecting the most suitable person from the candidates applying for the individual jobs. So, The HR department, faced with a large pool of applicants, faces the task of selecting the best one. To address this problem, we've developed a new web tool called ""Pre-interview reviewer"" that can be used by any company in the IT sector to quickly and easily narrow down the pool of applicants for software engineering roles. We use various methods to narrow down the pool of potential hires. We are training an algorithm to identify the best candidates by assessing the Curriculum Vitae (CV), providing selected questionaries relevant to the HR-provided job description requirement, and using leadership and teamwork skills to analyze questions. Using this system, the companies can utilize the pre-interview sections. Then time consummation will happen. Here, we take a natural language processing-based approach to creating a web app and web-dev languages, among others. In the end, this approach is meant to take advantage of the intricate nature of company recruitment.",,978-1-6654-7436-8,10.1109/ICAC3N56670.2022.10074186,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074186,NLTK;Spacy;Job interview;Finding Job;Human resource;Text Classification,Training;Software algorithms;Resumes;Companies;Software;Teamwork;Interviews,,1.0,,6.0,IEEE,2023-03-28 00:00:00,16-17 Dec. 2022,16-17 Dec. 2022,IEEE,IEEE Conferences
Résumé-Driven Development: A Definition and Empirical Characterization,J. Fritzsch; M. Wyrich; J. Bogner; S. Wagner,"Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering, University of Stuttgart, Stuttgart, Germany",2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),7 May 2021,2021,,,19.0,28.0,"Technologies play an important role in the hiring process for software professionals. Within this process, several studies revealed misconceptions and bad practices which lead to suboptimal recruitment experiences. In the same context, grey literature anecdotally coined the term Résumé-Driven Development (RDD), a phenomenon describing the overemphasis of trending technologies in both job offerings and resumes as an interaction between employers and applicants. While RDD has been sporadically mentioned in books and online discussions, there are so far no scientific studies on the topic, despite its potential negative consequences. We therefore empirically investigated this phenomenon by surveying 591 software professionals in both hiring (130) and technical (558) roles and identified RDD facets in substantial parts of our sample: 60% of our hiring professionals agreed that trends influence their job offerings, while 82% of our software professionals believed that using trending technologies in their daily work makes them more attractive for prospective employers. Grounded in the survey results, we conceptualize a theory to frame and explain Résumé-Driven Development. Finally, we discuss influencing factors and consequences and propose a definition of the term. Our contribution provides a foundation for future research and raises awareness for a potentially systemic trend that may broadly affect the software industry.",,978-1-6654-0139-5,10.1109/ICSE-SEIS52602.2021.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402191,software development;technology;hiring;career development;survey;theory,Resumes;Software quality;Market research;Software;Interviews;Software engineering;Recruitment,,7.0,,32.0,IEEE,7 May 2021,25-28 May 2021,25-28 May 2021,IEEE,IEEE Conferences
Mining People Analytics from StackOverflow Job Advertisements,M. Papoutsoglou; N. Mittas; L. Angelis,"Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece",2017 43rd Euromicro Conference on Software Engineering and Advanced Applications (SEAA),28 Sep 2017,2017,,,108.0,115.0,"Skills and competences of people participating in online professional networks constitute an ever-increasing new source for data collection and analysis. An important sub-domain of human resources management (HRM) is the recruitment process. Job advertisements and people profiles are main parts of recruitment and since are now available online, they constitute a key factor of a new e-recruitment era. Data mining for erecruitment analysis is important in order to extract a knowledge base for people analytics. Skills and competences are the key variables for people analytics and can be drawn from job advertisements. Leveraging the raw information of online job offers, provides a rich source for people analytics. Detecting the appropriate skills and competences for a job from raw text data and associate them with a job seeker is an increasing challenge. The main objective of this paper is the proposal of a framework aiming to collect online job advertisements from a web source which concerns IT job offers and to extract from the raw text the required skills and competences for specific jobs. The selected professional networking web source is StackOverflow and multivariate statistical data analysis was used to test the correlations between skills and competences in the job offers dataset. The present work falls in a relatively new field of research, concerning the competence mining of peopleware data with special focus on software development.",,978-1-5386-2141-7,10.1109/SEAA.2017.50,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8051336,people analytics;job advertisements;professional social networks;e-recruitment;competence mining,Companies;Data mining;Market research;Data analysis;LinkedIn;Recruitment;Software,,31.0,,26.0,IEEE,28 Sep 2017,30 Aug.-1 Sept. 2017,30 Aug.-1 Sept. 2017,IEEE,IEEE Conferences
Efficient Resume-Based Re-Education for Career Recommendation in Rapidly Evolving Job Markets,S. Ashrafi; B. Majidi; E. Akhtarkavan; S. H. R. Hajiagha,"Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Management, Khatam University, Tehran, Iran",IEEE Access,2023-11-10 00:00:00,2023,11.0,,124350.0,124367.0,"The impact of the COVID-19 pandemic and the introduction of artificial intelligence-based tools created significant job losses across various sectors in all countries around the world. A large portion of these job losses is permanent. Furthermore, the hidden unemployment numbers are higher than currently reported and the impact of Generative Pretrained Transformer (GPT) based tools will further increase the unemployed population in the coming years. Most businesses are likely to experience significant disruptions to their business-as-usual operations and will face business underperformance for long periods. To ensure business continuity and a smooth recovery process following severe disruptions, it is crucial to establish a recovery strategy. To provide enough workforce for the recovery strategy of various businesses, a large-scale rapid re-education of the workforce is required. Intelligent and virtual workplaces will replace traditional offices in various sectors in the upcoming years and many low-skilled jobs are in danger of being permanently lost. In this paper, an artificial intelligence-based framework for rapid work-skill re-education for evolving markets named Career-gAIde is presented. The proposed framework uses automatic analysis of the job resume of the workers for recommendations of a suitable new job with a higher salary and the best rapid re-education path toward that job. Custom build deep neural networks based on CNN-Random along with customized natural language processing tools are designed for large-scale automatic recommendation of a personalized education and career path to each job seeker. The proposed work is focused on software engineering job search and resume upgrades. There is also a book recommendation module for obtaining the knowledge of job seekers. Precision criteria were used to evaluate the job offer recommendations and the proposed framework achieves 67% in this measure. The Recall criteria were used to assess the required skills, with results of 84% and 79%, respectively. The experimental results show that the proposed framework can provide a solution for rapid work-skill re-adjustment for large-scale workforces.",2169-3536,,10.1109/ACCESS.2023.3329576,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305073,Job recommender system;learning path recommender;deep neural networks;natural language processing,Resumes;Engineering profession;Pandemics;Recruitment;Remuneration;Artificial neural networks;Recommender systems;Natural language processing;Employment,,20.0,,51.0,CCBYNCND,2023-11-02 00:00:00,2023,,IEEE,IEEE Journals
Mining and Analyzing Occupational Characteristics from Job Postings,D. F. Mujtaba; N. R. Mahapatra,"Department of Electrical and Computer Engineering, Michigan State University, East Lansing, Michigan, USA; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, Michigan, USA",2020 International Conference on Computational Science and Computational Intelligence (CSCI),2021-06-23 00:00:00,2020,,,683.0,685.0,"Hiring/recruitment is key to an organization’s ability to position itself for success by attracting the right talent. Similarly, job search enables workers to connect to the right jobs in the right organizations. To assist in the hiring and job search processes, many technology solutions such as interest inventories, job recommendation models, job boards, and career pathway planning tools have been developed. However, solutions for preparing job postings are lacking. Job postings/ads play an essential role in hiring the right talent since they signal to the jobseeker the knowledge, skills, abilities, and other occupation-related characteristics (KSAOs) needed for a job. If the job ad does not convey the correct occupational characteristics, it is less likely that a well-qualified candidate will apply. Therefore, we present an interactive job ad visualization tool that analyzes the text in a job ad and matches phrases in it to a large occupational taxonomy of KSAOs. We combine O*NET, an occupational taxonomy, with natural language processing to perform semantic similarity matching between KSAOs for an occupation and ad text, and thereby assist jobseekers in their search process and recruiters in preparing job ads.",,978-1-7281-7624-6,10.1109/CSCI51800.2020.00124,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458027,Data mining;job visualization;natural language processing;occupational information network;recruitment,Scientific computing;Engineering profession;Taxonomy;Semantics;Data visualization;Organizations;Tools,,3.0,,14.0,IEEE,2021-06-23 00:00:00,16-18 Dec. 2020,16-18 Dec. 2020,IEEE,IEEE Conferences
"Automatic Software Engineering Position Resume Screening using Natural Language Processing, Word Matching, Character Positioning, and Regex",D. Pant; D. Pokhrel; P. Poudyal,"Department of Information Technology, Kathford International College of Engineering and Management, Lalitpur, Nepal; Department of Industrial Engineering, University of Arkansas, Fayetteville, AR, USA; Department of Computer Science and Engineering, Kathmandu University, Banepa, Nepal",2022 5th International Conference on Advanced Systems and Emergent Technologies (IC_ASET),5 May 2022,2022,,,44.0,48.0,"Screening candidates' resumes manually is a tedious job, with possibilities of sometimes missing good candidates due to human errors, nepotism, and bias. However, these kinds of mismanagement don’t apply to machines. Instead, automatic screening of candidates reduces a lot of effort, time, and cost. Hence this work specifically focuses on extracting technical skills using natural language processing specifically resume label character positioning, data set consisting of software engineering candidate requirements, regular expressions, and word and phrase matching for candidate information retrieval. Character positioning a new technique for information extraction is introduced, which perceives needed data and pulls it out. This methodology creates a summary of the resume from the extracted information. And computes count scores from based recognized skills, and education plus experience level. Finally, upon testing on five random software engineering positions resume correct extraction rate of 33.59% was obtained.",,978-1-6654-2735-7,10.1109/IC_ASET53395.2022.9765916,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765916,Automated Resume Screening;Information Retrieval Using Characters Positioning;Natural Language Processing,Text mining;Text recognition;Resumes;Manuals;Information retrieval;Natural language processing;Software,,11.0,,26.0,IEEE,5 May 2022,22-25 March 2022,22-25 March 2022,IEEE,IEEE Conferences
Source Code Repo-Based Candidate Comparison System for Recruitment of Software Engineers,G. Agrawal; T. Bhadani; A. Tyagi; H. B. Prajapati; V. K. Dabhi,"Department of Information Technology, Dharmsinh Desai University, Nadiad, Gujarat, India; Department of Information Technology, Dharmsinh Desai University, Nadiad, Gujarat, India; Ericsson, Austin, Texas, USA; Department of Information Technology, Dharmsinh Desai University, Nadiad, Gujarat, India; Department of Information Technology, Dharmsinh Desai University, Nadiad, Gujarat, India",2025 1st International Conference on Data Science and Intelligent Network Computing (ICDSINC),2026-03-30 00:00:00,2025,,,424.0,430.0,"Identifying competent applicants for software development roles represents a crucial responsibility that influences organizational achievement. This research introduces an innovative source code repository-driven candidate evaluation system that assesses and prioritizes applicants using metrics including repositories, pull requests, commits, programming language proficiency, repository recognition, and contribution regularity patterns. In contrast to current methods that depend on manual review or complicated multi-dimensional assessments, our framework delivers immediate, clear, and language-focused evaluations. The suggested method helps recruiting managers by significantly cutting down on evaluation time, offering objective indicators, and facilitating data-driven hiring choices while preserving process transparency. We evaluate our approach compared with existing methods and demonstrate improved results in efficiency, transparency, and practical implementation. Furthermore, our framework incorporates language-focused filtering features and contribution regularity examination through creative heatmap displays, enabling hiring managers to assess applicants according to proficiency in particular programming languages and work regularity patterns.",,979-8-3315-6524-4,10.1109/ICDSINC66221.2025.11448235,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448235,Source code repositories;applicant selection;software development recruitment;programming language evaluation;candidate assessment;contribution regularity,Computer languages;Filtering;Reviews;Source coding;Software;Real-time systems;Reliability;Recruitment;Software engineering;Software development management,,,,24.0,IEEE,2026-03-30 00:00:00,9-11 Dec. 2025,9-11 Dec. 2025,IEEE,IEEE Conferences
"Revolutionizing Recruitment with Large Language Models: A Multimodal AI Framework Integrating Video, Social Media, and Traditional Screening for Efficient Talent Acquisition",A. Giri; P. Das; Harshan; C. Harsha; H. K. Suman,"Computer Science and Engineering Department, PES University, Bengaluru, India; Computer Science and Engineering Department, PES University, Bengaluru, India; Computer Science and Engineering Department, PES University, Bengaluru, India; Computer Science and Engineering Department, PES University, Bengaluru, India; Computer Science and Engineering Department, PES University, Bengaluru, India","2024 First International Conference on Data, Computation and Communication (ICDCC)",21 Apr 2025,2024,,,244.0,250.0,"The classic problem with recruitment is the need to analyze multiple resumes in a short period while ensuring the best quality of hires. In the wake of Covid and the advent of generative AI, we have seen a modern approach to recruitment, digitizing the process to gather more suitable candidates for the institution. The process of recruiting candidates, especially for those in technical roles has lately gained a high rise. There has been a very rapid change to bring about non-contact based recruitment, helping institutions survey a wider range of people without limiting to geographical constraints. Newer recent changes seen since covid is the usage of online video chat platforms to conduct live one-on-one interviews. Our paper takes this approach of using video as a form of recruitment for screening candidates, we also delve into utilizing social recruitment also as a form of pre-screening using LinkedIn and GIT for technical roles. This paper also helps view pre-screening from traditional resumes and newer introduced methods by leveraging LLMs to help reduce human intervention until the final interviews. This approach helps combine the various diverse components into providing a solution to these recruitment challenges. The paper aims to help recruiters in selecting candidates more competently while improving time management, precision, objectivity, as well as reliability during the hiring processes.",,979-8-3315-3295-6,10.1109/ICDCC62744.2024.10960858,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10960858,Recruitment;Video Recruitment;Social Recruitment;Large Language Models(LLMs);Retrieval Augmented Generation (RAG),COVID-19;Surveys;Social networking (online);Resumes;Retrieval augmented generation;Web conferencing;Interviews;Recruitment;Indexing;Software development management,,1.0,,21.0,IEEE,21 Apr 2025,29-30 Nov. 2024,29-30 Nov. 2024,IEEE,IEEE Conferences
